datetime_utc,temperature
19961101-11:00,30
19961101-12:00,28
19961101-13:00,24
19961101-14:00,24
19961101-16:00,23
19961101-17:00,21
19961101-18:00,21
19961101-19:00,21
19961101-20:00,19
19961101-21:00,19
19961101-22:00,19
19961101-23:00,19
19961102-00:00,19
19961102-01:00,19
19961102-02:00,20
19961102-03:00,22
19961102-04:00,23
19961102-05:00,26
19961102-06:00,28
19961102-07:00,30
19961102-08:00,31
19961102-09:00,31
19961102-10:00,31
19961102-11:00,30
19961102-12:00,27
19961102-13:00,25
19961102-14:00,22
19961102-15:00,21
19961102-16:00,19
19961102-17:00,20
19961102-18:00,19
19961102-19:00,19
19961102-20:00,17
19961102-21:00,17
19961102-22:00,17
19961102-23:00,17
19961103-00:00,17
19961103-01:00,16
19961103-02:00,17
19961103-03:00,19
19961103-04:00,22
19961103-05:00,22
19961103-06:00,26
19961103-07:00,28
19961103-08:00,28
19961103-09:00,29
19961103-10:00,29
19961103-11:00,27
19961103-12:00,26
19961103-13:00,22
19961103-14:00,22
19961103-15:00,21
19961103-16:00,21
19961103-17:00,20
19961103-18:00,20
19961103-19:00,19
19961103-20:00,19
19961103-21:00,19
19961103-22:00,17
19961103-23:00,17
19961104-00:00,18
19961104-01:00,15
19961104-02:00,17
19961104-03:00,20
19961104-05:00,26
19961104-06:00,28
19961104-07:00,28
19961104-08:00,29
19961104-09:00,29
19961104-10:00,29
19961104-11:00,27
19961104-12:00,25
19961104-13:00,23
19961104-16:00,21
19961104-17:00,21
19961104-18:00,18
19961104-19:00,18
19961104-21:00,17
19961105-04:00,24
19961105-05:00,26
19961105-06:00,29
19961105-07:00,30
19961105-08:00,30
19961106-07:00,28
19961106-08:00,29
19961106-09:00,29
19961106-10:00,29
19961106-11:00,28
19961106-12:00,25
19961106-13:00,24
19961106-14:00,20
19961106-15:00,19
19961106-17:00,19
19961106-18:00,19
19961106-19:00,18
19961106-20:00,17
19961106-21:00,16
19961106-22:00,16
19961106-23:00,15
19961107-00:00,15
19961107-01:00,17
19961107-02:00,18
19961107-03:00,19
19961107-04:00,23
19961107-05:00,25
19961107-06:00,27
19961107-07:00,29
19961107-08:00,29
19961107-09:00,30
19961107-10:00,30
19961107-11:00,29
19961107-12:00,25
19961107-13:00,24
19961107-14:00,22
19961107-15:00,20
19961107-16:00,19
19961107-17:00,19
19961107-18:00,19
19961107-19:00,18
19961107-20:00,17
19961107-21:00,17
19961107-22:00,16
19961107-23:00,15
19961108-00:00,15
19961108-01:00,
19961108-02:00,16
19961108-03:00,18
19961108-04:00,21
19961108-05:00,24
19961108-06:00,27
19961108-07:00,28
19961108-08:00,29
19961108-09:00,29
19961108-10:00,28
19961108-11:00,27
19961108-12:00,23
19961108-13:00,21
19961108-14:00,21
19961108-15:00,20
19961108-16:00,20
19961108-17:00,19
19961108-18:00,19
19961108-19:00,18
19961108-20:00,17
19961108-21:00,17
19961108-22:00,16
19961108-23:00,16
19961109-00:00,16
19961109-01:00,15
19961109-02:00,16
19961109-03:00,18
19961109-04:00,21
19961109-05:00,24
19961109-07:00,27
19961109-08:00,28
19961109-09:00,28
19961109-11:00,27
19961109-12:00,25
19961109-13:00,21
19961109-14:00,20
19961109-15:00,19
19961109-16:00,19
19961109-17:00,18
19961109-18:00,17
19961109-19:00,17
19961109-20:00,17
19961109-21:00,15
19961109-22:00,15
19961109-23:00,15
19961110-00:00,14
19961110-01:00,14
19961110-02:00,15
19961110-03:00,18
19961110-04:00,22
19961110-05:00,24
19961110-06:00,26
19961110-07:00,28
19961110-08:00,29
19961110-09:00,29
19961110-10:00,29
19961110-11:00,27
19961110-12:00,23
19961110-13:00,21
19961110-15:00,18
19961110-16:00,19
19961110-18:00,18
19961110-19:00,17
19961110-20:00,16
19961110-21:00,15
19961110-22:00,14
19961110-23:00,14
19961111-00:00,14
19961111-01:00,15
19961111-02:00,18
19961111-03:00,19
19961111-04:00,24
19961111-05:00,27
19961111-06:00,28
19961111-07:00,29
19961111-08:00,30
19961111-09:00,28
19961111-10:00,29
19961111-11:00,28
19961111-12:00,24
19961111-13:00,23
19961111-14:00,22
19961111-15:00,20
19961111-16:00,20
19961111-17:00,20
19961111-18:00,19
19961111-19:00,20
19961111-20:00,18
19961111-21:00,17
19961111-22:00,16
19961112-00:00,16
19961112-01:00,16
19961112-02:00,21
19961112-03:00,24
19961112-04:00,26
19961112-05:00,28
19961112-06:00,30
19961112-07:00,30
19961112-08:00,31
19961112-09:00,31
19961112-10:00,30
19961112-11:21,28
19961112-12:00,25
19961112-13:00,24
19961112-14:00,23
19961112-15:00,22
19961112-16:00,22
19961112-17:00,21
19961112-18:00,21
19961112-19:00,19
19961112-20:00,20
19961112-21:00,20
19961112-22:00,18
19961112-23:00,17
19961113-00:00,17
19961113-01:00,19
19961113-02:00,
19961113-03:00,21
19961113-04:00,25
19961113-05:00,25
19961113-06:00,26
19961113-07:00,28
19961113-08:00,34
19961113-09:00,28
19961113-10:00,28
19961113-11:00,27
19961113-12:00,25
19961113-13:00,23
19961113-14:00,22
19961113-15:00,21
19961113-17:00,21
19961113-18:00,21
19961113-19:00,20
19961113-20:00,19
19961113-21:00,21
19961113-22:00,23
19961113-23:00,20
19961114-00:00,20
19961114-01:00,21
19961114-04:00,22
19961114-05:00,25
19961114-06:00,26
19961114-07:00,27
19961114-08:00,28
19961114-09:00,28
19961114-10:00,28
19961114-11:00,27
19961114-12:00,24
19961114-13:00,21
19961114-14:00,19
19961114-15:00,19
19961114-20:00,16
19961114-21:00,15
19961114-22:00,14
19961114-23:00,14
19961115-00:00,14
19961115-01:00,14
19961115-03:00,15
19961115-05:00,22
19961115-06:00,23
19961115-07:00,25
19961115-08:00,26
19961115-11:00,24
19961115-12:00,22
19961115-13:00,19
19961115-16:00,17
19961115-17:00,16
19961115-18:00,15
19961115-19:00,14
19961115-20:00,14
19961115-21:00,13
19961115-22:00,12
19961115-23:00,12
19961116-00:00,11
19961116-01:00,11
19961116-02:00,12
19961116-03:00,15
19961116-04:00,17
19961116-05:00,19
19961116-06:00,
19961116-07:00,24
19961116-08:00,25
19961116-09:00,25
19961116-10:00,25
19961116-11:00,23
19961116-12:00,22
19961116-13:00,17
19961116-14:00,17
19961116-15:00,17
